Pitch moment coefficient,Yaw moment coefficient,Roll moment coefficient,Mach
0,0,0,0.01
0,0,0,0.02
0,0,0,0.03
0,0,0,0.04
0,0,0,0.05
0,0,0,0.06
0,0,0,0.07
0,0,0,0.08
0,0,0,0.09
0,0,0,0.1
0,0,0,0.11
0,0,0,0.12
0,0,0,0.13
9.82,0,0,0.14
9.92,0,0,0.14
10.01,0,0,0.14
10.1,0,0,0.14
10.19,0,0,0.14
10.28,0,0,0.14
10.36,0,0,0.14
10.45,0,0,0.14
10.53,0,0,0.14
10.6,0,0,0.14
10.67,0,0,0.14
10.74,0,0,0.14
10.81,0,0,0.14
10.87,0,0,0.14
10.93,0,0,0.14
10.98,0,0,0.14
11.03,0,0,0.14
11.08,0,0,0.14
11.12,0,0,0.14
11.16,0,0,0.14
7.63,0,0,0.15
7.75,0,0,0.15
7.86,0,0,0.15
7.98,0,0,0.15
8.09,0,0,0.15
8.2,0,0,0.15
8.32,0,0,0.15
8.43,0,0,0.15
8.55,0,0,0.15
8.66,0,0,0.15
8.77,0,0,0.15
8.88,0,0,0.15
8.99,0,0,0.15
9.1,0,0,0.15
9.21,0,0,0.15
9.31,0,0,0.15
9.42,0,0,0.15
9.52,0,0,0.15
9.62,0,0,0.15
9.72,0,0,0.15
6.17,0,0,0.16
6.28,0,0,0.16
6.39,0,0,0.16
6.5,0,0,0.16
6.61,0,0,0.16
6.72,0,0,0.16
6.83,0,0,0.16
6.95,0,0,0.16
7.06,0,0,0.16
7.17,0,0,0.16
7.29,0,0,0.16
7.4,0,0,0.16
7.52,0,0,0.16
5.05,0,0,0.17
5.15,0,0,0.17
5.24,0,0,0.17
5.34,0,0,0.17
5.44,0,0,0.17
5.54,0,0,0.17
5.65,0,0,0.17
5.75,0,0,0.17
5.85,0,0,0.17
5.96,0,0,0.17
6.07,0,0,0.17
4.07,0,0,0.18
4.15,0,0,0.18
4.24,0,0,0.18
4.32,0,0,0.18
4.41,0,0,0.18
4.5,0,0,0.18
4.59,0,0,0.18
4.68,0,0,0.18
4.77,0,0,0.18
4.86,0,0,0.18
4.95,0,0,0.18
0,0,0,0.18
3.39,0,0,0.19
3.46,0,0,0.19
3.53,0,0,0.19
3.6,0,0,0.19
3.68,0,0,0.19
3.75,0,0,0.19
3.83,0,0,0.19
3.91,0,0,0.19
3.99,0,0,0.19
2.8,0,0,0.2
2.86,0,0,0.2
2.92,0,0,0.2
2.99,0,0,0.2
3.05,0,0,0.2
3.11,0,0,0.2
3.18,0,0,0.2
3.25,0,0,0.2
3.32,0,0,0.2
2.36,0,0,0.21
2.41,0,0,0.21
2.47,0,0,0.21
2.52,0,0,0.21
2.57,0,0,0.21
2.63,0,0,0.21
2.69,0,0,0.21
2.74,0,0,0.21
1.99,0,0,0.22
2.03,0,0,0.22
2.08,0,0,0.22
2.12,0,0,0.22
2.17,0,0,0.22
2.22,0,0,0.22
2.26,0,0,0.22
2.31,0,0,0.22
1.67,0,0,0.23
1.71,0,0,0.23
1.75,0,0,0.23
1.79,0,0,0.23
1.83,0,0,0.23
1.86,0,0,0.23
1.9,0,0,0.23
1.95,0,0,0.23
1.41,0,0,0.24
1.44,0,0,0.24
1.47,0,0,0.24
1.5,0,0,0.24
1.53,0,0,0.24
1.57,0,0,0.24
1.6,0,0,0.24
1.64,0,0,0.24
1.21,0,0,0.25
1.24,0,0,0.25
1.26,0,0,0.25
1.29,0,0,0.25
1.32,0,0,0.25
1.35,0,0,0.25
1.38,0,0,0.25
1.02,0,0,0.26
1.04,0,0,0.26
1.07,0,0,0.26
1.09,0,0,0.26
1.11,0,0,0.26
1.14,0,0,0.26
1.16,0,0,0.26
1.19,0,0,0.26
0.88,0,0,0.27
0.9,0,0,0.27
0.92,0,0,0.27
0.94,0,0,0.27
0.96,0,0,0.27
0.98,0,0,0.27
1,0,0,0.27
0.76,0,0,0.28
0.77,0,0,0.28
0.79,0,0,0.28
0.81,0,0,0.28
0.83,0,0,0.28
0.84,0,0,0.28
0.86,0,0,0.28
0.66,0,0,0.29
0.67,0,0,0.29
0.68,0,0,0.29
0.7,0,0,0.29
0.71,0,0,0.29
0.73,0,0,0.29
0.74,0,0,0.29
0.57,0,0,0.3
0.58,0,0,0.3
0.59,0,0,0.3
0.6,0,0,0.3
0.62,0,0,0.3
0.63,0,0,0.3
0.64,0,0,0.3
0.49,0,0,0.31
0.5,0,0,0.31
0.51,0,0,0.31
0.52,0,0,0.31
0.53,0,0,0.31
0.54,0,0,0.31
0.55,0,0,0.31
0.42,0,0,0.32
0.43,0,0,0.32
0.44,0,0,0.32
0.45,0,0,0.32
0.46,0,0,0.32
0.47,0,0,0.32
0.48,0,0,0.32
0.37,0,0,0.33
0.38,0,0,0.33
0.39,0,0,0.33
0.4,0,0,0.33
0.41,0,0,0.33
0.42,0,0,0.33
0.32,0,0,0.34
0.33,0,0,0.34
0.34,0,0,0.34
0.35,0,0,0.34
0.36,0,0,0.34
0.28,0,0,0.35
0.29,0,0,0.35
0.3,0,0,0.35
0.31,0,0,0.35
0.16,0,0,0.36
0.25,0,0,0.36
0.26,0,0,0.36
0.27,0,0,0.36
0.28,0,0,0.36
0.21,0,0,0.37
0.22,0,0,0.37
0.23,0,0,0.37
0.24,0,0,0.37
0.19,0,0,0.38
0.2,0,0,0.38
0.21,0,0,0.38
0.15,0,0,0.39
0.17,0,0,0.39
0.18,0,0,0.39
0.19,0,0,0.39
0.15,0,0,0.4
0.16,0,0,0.4
0.17,0,0,0.4
0.14,0,0,0.41
0.15,0,0,0.41
0.12,0,0,0.42
0.13,0,0,0.42
0.11,0,0,0.43
0.12,0,0,0.43
0.1,0,0,0.44
0.11,0,0,0.44
0.09,0,0,0.45
0.1,0,0,0.45
0.08,0,0,0.46
0.09,0,0,0.46
0.07,0,0,0.47
0.08,0,0,0.47
0.05,0,0,0.48
0.06,0,0,0.48
0.07,0,0,0.48
0.05,0,0,0.49
0.06,0,0,0.49
0.05,0,0,0.5
0.05,0,0,0.51
0.04,0,0,0.52
0.04,0,0,0.53
0.04,0,0,0.54
0.03,0,0,0.55
0.04,0,0,0.55
0.03,0,0,0.56
0.07,0,0,0.57
0.03,0,0,0.57
0.02,0,0,0.58
0.02,0,0,0.59
0.1,0,0,0.6
0.02,0,0,0.6
0.02,0,0,0.61
0.02,0,0,0.62
0.11,0,0,0.63
0.02,0,0,0.63
0.02,0,0,0.64
0.01,0,0,0.65
0.02,0,0,0.65
0.1,0,0,0.66
0.01,0,0,0.66
0.01,0,0,0.67
0.01,0,0,0.68
0.07,0,0,0.69
0.01,0,0,0.69
0.01,0,0,0.7
0.04,0,0,0.71
0.01,0,0,0.71
0.01,0,0,0.72
0.01,0,0,0.73
0.01,0,0,0.74
0.01,0,0,0.75
0,0,0,0.75
0.01,0,0,0.76
0.04,0,0,0.77
0.01,0,0,0.77
0.01,0,0,0.78
0.01,0,0,0.79
0.07,0,0,0.8
0.07,0,0,0.81
0.07,0,0,0.82
0.07,0,0,0.83
0.01,0,0,0.83
0.01,0,0,0.84
0.03,0,0,0.85
0.06,0,0,0.86
0.04,0,0,0.87
0.04,0,0,0.88
0.02,0,0,0.89
0.01,0,0,0.89
0.01,0,0,0.9
0.02,0,0,0.91
0.03,0,0,0.92
0.04,0,0,0.93
0.04,0,0,0.94
0.05,0,0,0.95
0.06,0,0,0.95
0.06,0,0,0.96
0.06,0,0,0.97
0.06,0,0,0.98
0.05,0,0,0.99
0.04,0,0,1
0.03,0,0,1.01
0.02,0,0,1.02
0.01,0,0,1.03
0.02,0,0,1.04
0.03,0,0,1.05
0.04,0,0,1.06
0.04,0,0,1.07
0.04,0,0,1.08
0.04,0,0,1.09
0.03,0,0,1.09
0.02,0,0,1.1
0.01,0,0,1.11
0.01,0,0,1.12
0,0,0,1.12
0,0,0,1.13
0.02,0,0,1.14
0,0,0,1.14
0,0,0,1.15
0.04,0,0,1.16
0,0,0,1.16
0,0,0,1.17
0,0,0,1.18
0.03,0,0,1.19
0,0,0,1.19
0,0,0,1.2
0,0,0,1.21
0,0,0,1.22
0,0,0,1.23
0.03,0,0,1.24
0,0,0,1.24
0,0,0,1.25
0,0,0,1.26
0.03,0,0,1.27
0,0,0,1.27
0,0,0,1.28
0,0,0,1.29
0,0,0,1.3
0,0,0,1.31
0.02,0,0,1.32
0,0,0,1.32
0,0,0,1.33
0.02,0,0,1.34
0,0,0,1.34
0,0,0,1.35
0,0,0,1.36
0,0,0,1.37
0,0,0,1.38
0,0,0,1.39
0.02,0,0,1.4
0,0,0,1.4
0,0,0,1.41
0.01,0,0,1.42
0,0,0,1.42
0.01,0,0,1.43
0,0,0,1.43
0,0,0,1.44
0.01,0,0,1.45
0,0,0,1.45
0,0,0,1.46
0.01,0,0,1.47
0,0,0,1.47
0.01,0,0,1.48
0,0,0,1.48
0,0,0,1.49
0,0,0,1.5
0,0,0,1.51
0.01,0,0,1.52
0,0,0,1.52
0,0,0,1.53
0.01,0,0,1.54
0,0,0,1.54
0,0,0,1.55
0.01,0,0,1.56
0,0,0,1.56
0.01,0,0,1.57
0,0,0,1.57
0,0,0,1.58
0,0,0,1.59
0.01,0,0,1.6
0,0,0,1.6
0.01,0,0,1.61
0,0,0,1.61
0,0,0,1.62
0.01,0,0,1.63
0,0,0,1.63
0,0,0,1.64
0,0,0,1.65
0.01,0,0,1.65
0,0,0,1.66
0,0,0,1.67
0,0,0,1.68
0,0,0,1.69
0,0,0,1.7
0,0,0,1.71
0,0,0,1.72
0,0,0,1.73
0,0,0,1.74
0,0,0,1.75
0,0,0,1.76
0,0,0,1.77
0,0,0,1.78
0,0,0,1.79
0,0,0,1.8
0,0,0,1.81
0,0,0,1.82
0,0,0,1.83
0,0,0,1.84
0,0,0,1.85
0,0,0,1.86
0,0,0,1.87
0,0,0,1.88
0,0,0,1.89
0,0,0,1.9
0,0,0,1.91
0,0,0,1.92
0,0,0,1.93
0,0,0,1.94
0,0,0,1.95
0,0,0,1.96
0,0,0,1.97
0,0,0,1.98
0,0,0,1.99
0,0,0,2
0,0,0,2.01
0,0,0,2.02
0,0,0,2.03
0,0,0,2.04
0,0,0,2.05
0,0,0,2.06
0,0,0,2.07
0,0,0,2.08
0,0,0,2.09
0,0,0,2.1
0,0,0,2.11
0,0,0,2.12
0,0,0,2.13
0,0,0,2.14
0,0,0,2.15
0,0,0,2.16
0,0,0,2.17
0,0,0,2.18
0,0,0,2.19
0,0,0,2.2
0,0,0,2.21
0,0,0,2.22
0,0,0,2.23
0,0,0,2.24
0,0,0,2.25
0,0,0,2.26
0,0,0,2.27
0,0,0,2.28
0,0,0,2.29
0,0,0,2.3
0,0,0,2.31
0,0,0,2.32
0,0,0,2.33
0,0,0,2.34
0,0,0,2.35
0,0,0,2.36
0,0,0,2.37
0,0,0,2.38
0,0,0,2.39
